"Options-Bezeichnung";"Options-Code";"Standardwert";"eigene Einstellung"
"Vereinsname";"name";"";"Universität des Dritten Lebensalters e.V."
"Straße";"adressestrasse";"";"Waldweg 26"
"Land - PLZ Ort";"adresseort";"";"37073 Göttingen"
"Telefon";"adressetelefon";"";"0551/39-21384"
"E-Mail";"adresseemail";"";"office@udl.uni-goettingen.de"
"Webseite";"adresseurl";"";"www.uni-goettingen.de/udl"
"Kontoinhaber";"kontoinhaber";"";"Universität des Dritten Lebensalters e.V."
"Bankname";"bank";"";"Sparkasse Göttingen"
"IBAN";"iban";"";"DE53260500010050589282"
"BIC";"bic";"";"NOLADE21GOE"
"Aufbau der Mandatsreferenz (interne Nutzer)";"mandatsreferenz";"{#id#}{#nachname#}";"{#id#}{#nachname#}"
"Aufbau der Mandatsreferenz (externe Nutzer)";"mandatsreferenzextern";"{#rechnungsnummer#}";"{#rechnungsnummer#}"
"Aufbau der Mandatsreferenz (intern)";"events.rechnungdaten.mandatsreferenz";"{#id#}{#nachname#}";"{#id#}{#nachname#}"
"Aufbau der Mandatsreferenz (extern)";"events.rechnungdaten.mandatsreferenzextern";"{#rechnungsnummer#}";"{#rechnungsnummer#}"
"Aufbau der Mandatsreferenz (intern)";"shop.rechnungdaten.mandatsreferenz";"{#id#}{#nachname#}";"{#id#}{#nachname#}"
"Aufbau der Mandatsreferenz (extern)";"shop.rechnungdaten.mandatsreferenzextern";"{#rechnungsnummer#}";"{#rechnungsnummer#}"
"Aufbau der Mandatsreferenz (intern)";"members.rechnungdaten.mandatsreferenz";"{#id#}{#nachname#}";"{#id#}{#nachname#}"
"Aufbau der Mandatsreferenz (extern)";"members.rechnungdaten.mandatsreferenzextern";"{#rechnungsnummer#}";"{#rechnungsnummer#}"
"Double-Opt-In nach Aktion";"sicherheit.doubleoptin";"";"alle"
"Mitglieder in Mitgliederliste";"members.list.intern";"";"profil"
"Willkommens-Titel auf der Startseite";"start.titel";"Herzlich willkommen im Mitgliederportal von {#Name#}";"Herzlich willkommen im Portal von {#Name#}"
"Willkommens-Gruss, intern";"start.gruss.intern";"Willkommen, {#USERNAME#}";"Willkommen, {#USERNAME#}"
"Willkommens-Gruss, extern";"start.gruss.extern";"Willkommen!";"Willkommen!"
"Webpart Anordnung";"startseite.layout";"80-20";"70-30"
"Standardeinstellung Sichtbarkeit";"news.default.public";"1";"1"
"html-Template, wie ?naechstetermine aussieht";"events.naechstetermine.template";"{#DATUM#}{#/ZEIT#}{#/TITEL#}{#/ORT#}";"{#DATUM#}{#/ZEIT#}{#/TITEL#}{#/ORT#}"
"maximale Titel-Länge";"events.naechstetermine.titellaenge";"60";"60"
"weitere Felder im Kalender anzeigen";"events.kalender.felder";"ort";"ort"
"""Veranstaltungsart"" Standard-Einträge";"artveranstaltung.standard";"";"no"
"Freigebende Rolle(n)";"events.add.checkdateexist.rolle";"Vorstand";"Vorstand"
"Anmeldung zu Kursen";"events.anmelden.anmeldenkurs";"";"spaeter"
"Bezeichnung des Anmerkungen-Feldes";"events.anmelden.anmerkungen.label";"Anmerkungen";"Anmerkungen"
"Pflichtfelder von externen Teilnehmern";"events.anmelden.fields.required";"vorname,name,email";"vorname,name,email"
"abweichendes Bankkonto";"events.rechnung.bankkonto";"";"0"
"anzuzeigende Feldnamen";"events.anmeldeliste.columns";"Foto:%foto,Anrede:%anrede,Titel:%titel,Nachname:%nachname,Vorname:%vorname,Rolle:%rolle,Firma:%firma,[Kontakt:%telefonnummeremail],Personen:%anzahlNE,Anmerkungen:anmerkungen,[Extras:%extras],[Bezahlt:%bezahlt]";"Foto:%foto,Anrede:%anrede,Titel:%titel,Nachname:%nachname,Vorname:%vorname,Rolle:%rolle,Firma:%firma,[Kontakt:%telefonnummeremail],Personen:%anzahlNE,Anmerkungen:anmerkungen,[Extras:%extras],[Bezahlt:%bezahlt]"
"Anonymisieren";"events.anmeldeliste.anonymisieren";"titel,strasse,ort,telefonnummer,email";"titel,strasse,ort,telefonnummer,email"
"Eigene Länder";"shop.eigene.laender";"D,Deutschland";"D,Deutschland"
"Kontakt Hauptlager";"shop.hauptlager.user";"";"0"
"Spendenbeträge";"shop.spenden.betraege";"*";"*"
"Benennung Mitglied";"members.label";"Mitglied,Mitglieder";"Mitglied,Mitglieder"
"Benennung Vereinsmitglied";"members.label.vereinsmitglied";"Vereinsmitglied,Vereinsmitglieder";"Vereinsmitglied,Vereinsmitglieder"
"Benennung von Gästen";"members.label.gast";"Gast,Gäste";"Gast,Gäste"
"Benennung eines Interessenten";"members.label.interessent";"Interessent,Interessenten";"Interessent,Interessenten"
"Mitglied anzeigen";"members.displayname";"";"namemnr"
"Feldern, in denen gesucht wird";"members.search.fields";"vorname,nachname,p_strasse,p_plz,p_ort,p_email,geburtstag,suchwoerter,userlogin,firma,mitgliedsnummer";"vorname,nachname,p_strasse,p_plz,p_ort,p_email,geburtstag,suchwoerter,userlogin,firma,mitgliedsnummer"
"angezeigte Spalten";"members.search.columns";"Foto:%foto,Name:%name,Firma:firma,M-Nr:mitgliedsnummer,Rollen:%rollen,Gruppen:%gruppen";"Foto:%foto,Name:%name,Firma:firma,M-Nr:mitgliedsnummer,Rollen:%rollen,Gruppen:%gruppen"
"Filter Funktion";"members.search.filter.funktion";"nein";"nein"
"Format für automatisch erzeugte Logins";"members.login";"";"vna"
"Minimale Länge";"members.passwort.minlaenge";"";"10"
"Komplexität";"members.passwort.komplexitaet";"";"3"
"Bild-Breite";"members.foto.size";"140";"140"
"angezeigte Spalten";"members.extern.search.columns";"Name:%name,Firma:firma,E-Mail:%email,Gruppen:%gruppen";"Name:%name,Firma:firma,E-Mail:%email,Gruppen:%gruppen"
"Mitgliedsantrag aktiviert";"mitgliedsantrag.enable";"";"startintern"
"Gastantrag aktiviert";"gastantrag.enable";"";"button"
"Wachstum Altersgrenzen";"members.statistik.wachstumsaltersgrenzen";"17,40,60";"17,40,60"
